image,sigma,method,psnr,ssim
PD_axial_092.npy,0.05,Noisy,26.393068462590975,0.7082164287567139
PD_axial_092.npy,0.05,DnCNN,33.48557893314718,0.9405778050422668
PD_axial_092.npy,0.05,RicianNet,30.43482127605287,0.9151290059089661
PD_axial_092.npy,0.05,Attention U-Net,31.57058223927091,0.9144023060798645
PD_axial_094.npy,0.05,Noisy,26.22468034641104,0.70430588722229
PD_axial_094.npy,0.05,DnCNN,33.33084777411979,0.9435933828353882
PD_axial_094.npy,0.05,RicianNet,30.161281042095425,0.9175805449485779
PD_axial_094.npy,0.05,Attention U-Net,31.42448149427785,0.9190427660942078
PD_axial_098.npy,0.05,Noisy,26.149822905107865,0.7438353896141052
PD_axial_098.npy,0.05,DnCNN,33.12589524519203,0.9485414624214172
PD_axial_098.npy,0.05,RicianNet,30.091603995221643,0.9222701191902161
PD_axial_098.npy,0.05,Attention U-Net,31.11612300605099,0.9257786273956299
PD_axial_102.npy,0.05,Noisy,26.16938562382487,0.7261634469032288
PD_axial_102.npy,0.05,DnCNN,33.31132283723591,0.9528183341026306
PD_axial_102.npy,0.05,RicianNet,30.042400737685423,0.9209578633308411
PD_axial_102.npy,0.05,Attention U-Net,31.4101551808708,0.9348828792572021
PD_axial_107.npy,0.05,Noisy,26.187124594673918,0.6899164915084839
PD_axial_107.npy,0.05,DnCNN,33.471538604787476,0.9529692530632019
PD_axial_107.npy,0.05,RicianNet,30.250680556283317,0.9173170328140259
PD_axial_107.npy,0.05,Attention U-Net,31.57986682893562,0.9356430768966675
PD_axial_108.npy,0.05,Noisy,26.10381307057581,0.6884260177612305
PD_axial_108.npy,0.05,DnCNN,33.43013398338305,0.9521143436431885
PD_axial_108.npy,0.05,RicianNet,30.189834395089786,0.9152722954750061
PD_axial_108.npy,0.05,Attention U-Net,31.585269411898473,0.9368379712104797
PD_axial_118.npy,0.05,Noisy,26.16488921459799,0.7002283930778503
PD_axial_118.npy,0.05,DnCNN,33.26400035670946,0.9513133764266968
PD_axial_118.npy,0.05,RicianNet,29.994125328325893,0.9163498878479004
PD_axial_118.npy,0.05,Attention U-Net,31.582313444618993,0.9345895648002625
PD_axial_120.npy,0.05,Noisy,26.139951223769387,0.7022189497947693
PD_axial_120.npy,0.05,DnCNN,33.101836825230635,0.9466434717178345
PD_axial_120.npy,0.05,RicianNet,29.89944413601297,0.9124020338058472
PD_axial_120.npy,0.05,Attention U-Net,31.306162622104598,0.929328441619873
PD_axial_121.npy,0.05,Noisy,26.0808781054998,0.7038904428482056
PD_axial_121.npy,0.05,DnCNN,33.264134626693746,0.9508461356163025
PD_axial_121.npy,0.05,RicianNet,29.93757698816356,0.9155398011207581
PD_axial_121.npy,0.05,Attention U-Net,31.241526528051992,0.9312773942947388
PD_axial_122.npy,0.05,Noisy,26.16280365505606,0.7080123424530029
PD_axial_122.npy,0.05,DnCNN,33.43878402202036,0.952201783657074
PD_axial_122.npy,0.05,RicianNet,30.059384527463106,0.9172114133834839
PD_axial_122.npy,0.05,Attention U-Net,31.372134780828734,0.932655930519104
PD_axial_133.npy,0.05,Noisy,26.036837369939974,0.7410340905189514
PD_axial_133.npy,0.05,DnCNN,33.22843513657799,0.9532611966133118
PD_axial_133.npy,0.05,RicianNet,30.190056762484602,0.9223768711090088
PD_axial_133.npy,0.05,Attention U-Net,31.4391090852874,0.9347319006919861
